Tweets ago,@BBC,@CBS,@CNN,@FoxNews,@nytimes
0,0.4939,-0.3875,-0.5574,-0.5106,0.0
1,0.0,0.0,0.0,0.743,-0.8625
2,0.5411,0.7906,0.25,-0.8225,0.4215
3,0.4404,0.6705,0.0772,0.0,-0.1531
4,0.0,0.6956,0.0,-0.4215,0.0
5,0.0,0.8858,0.2263,-0.6486,-0.6124
6,0.7299,0.0,0.0,0.2023,0.296
7,0.2732,0.1622,-0.4767,-0.4767,0.0
8,-0.5574,0.0,0.0,-0.6705,0.0
9,0.0,0.3182,-0.5859,-0.4939,0.7506
10,-0.6124,0.8519,0.0,0.0,-0.4003
11,0.0,0.0,-0.4124,-0.7906,0.7506
12,-0.3626,0.0,0.5106,-0.4767,0.9349
13,-0.802,0.296,0.4215,0.0,-0.2023
14,0.4019,-0.2263,0.0,0.128,-0.296
15,0.7096,0.6124,-0.5859,0.6085,-0.3182
16,-0.2732,0.0,-0.5927,-0.4767,0.7351
17,0.5994,0.0,-0.1027,-0.296,-0.8687
18,0.0,0.0,0.765,-0.3818,0.0
19,0.5719,0.0,0.2263,-0.6808,-0.296
20,0.0,0.0,0.2617,0.0516,0.8807
21,0.6696,-0.1779,0.128,-0.25,-0.5859
22,-0.6705,0.0,0.128,0.0,0.0
23,0.0,0.0,-0.3182,0.0,-0.2023
24,-0.7964,-0.34,-0.4226,0.0,0.0
25,0.0,0.0,-0.5574,0.0,0.2023
26,-0.6486,0.0,0.5106,-0.3818,0.0
27,-0.2263,0.1139,0.34,0.0,0.7096
28,0.0,0.6249,-0.1531,0.0,0.7906
29,0.7506,0.0,0.7269,0.0258,0.8074
30,0.0,-0.2714,-0.2732,0.0,0.0
31,0.0,-0.6369,0.296,0.4939,0.7506
32,0.0,0.0,0.0,-0.5267,-0.2263
33,0.0,0.7901,0.0,0.0,0.4019
34,0.7456,0.0,-0.1779,-0.34,0.7096
35,0.128,0.3919,-0.0258,0.0,-0.4019
36,-0.5574,0.0,0.34,0.0,-0.5719
37,0.7003,-0.2263,-0.4767,0.0772,0.6369
38,0.3818,0.0,-0.296,0.0,-0.8807
39,-0.7351,0.296,-0.4588,0.0,0.128
40,0.0,-0.1531,0.0,0.7506,-0.908
41,0.7845,0.2263,-0.0516,0.4215,-0.296
42,-0.875,0.7896,-0.5283,-0.6124,0.5994
43,-0.872,0.0,-0.1531,0.4404,-0.0772
44,0.4753,-0.0531,-0.3612,-0.765,-0.0772
45,0.6239,0.6486,-0.5859,0.0,-0.296
46,0.0,0.9642,0.4588,0.0,0.2247
47,-0.6114,0.0,-0.3818,0.5574,-0.4588
48,0.5106,0.3612,0.6808,0.0,0.0
49,0.4574,-0.2263,0.8024,0.0,0.6808
50,0.0,0.0,0.0,-0.4019,0.0
51,0.0,-0.485,0.2263,0.4404,0.4767
52,-0.296,-0.2481,0.0,0.743,-0.5719
53,0.0,0.0,-0.3182,0.0,0.0
54,0.0,0.0,-0.34,0.4019,-0.4019
55,-0.4767,0.4753,0.2263,0.4404,0.4019
56,0.1531,0.0,0.7391,-0.6486,0.0
57,-0.8516,-0.2263,-0.4019,-0.5423,0.5574
58,0.0,0.6705,-0.34,0.5574,0.6124
59,-0.5994,0.6996,-0.5994,0.0,-0.3612
60,0.0,0.0,0.0,0.4767,0.2732
61,0.5859,-0.5411,0.0772,0.3612,-0.0772
62,0.4215,0.5093,-0.7906,0.4939,0.0
63,0.4215,-0.296,-0.4019,0.0,0.8271
64,-0.7003,0.4753,-0.4124,0.4019,0.0
65,0.5499,0.0,-0.8059,0.7506,0.5859
66,0.7088,0.3612,-0.659,0.0,-0.6597
67,0.0,0.6908,-0.3818,-0.3412,0.0
68,-0.5256,0.4753,-0.4588,0.0,0.5965
69,-0.186,0.6514,-0.3182,0.1154,-0.8834
70,0.4939,0.0,0.0516,0.5413,0.0
71,-0.5267,0.0,0.0,0.0,0.8316
72,0.6808,-0.6908,-0.5095,0.0258,-0.3818
73,-0.1022,0.6239,-0.5574,0.875,-0.5267
74,0.0,0.4588,0.0,0.0,-0.0258
75,0.0,-0.4389,-0.2023,0.0,-0.7717
76,0.6229,0.0,0.0,-0.296,-0.1531
77,-0.126,0.0,-0.4588,-0.4404,0.4678
78,0.7003,0.7351,-0.2023,0.0,-0.8481
79,0.1531,0.3182,-0.5859,-0.5423,0.296
80,0.0,0.0,-0.2732,0.6249,0.5927
81,-0.5346,-0.5267,-0.9313,0.0,0.9117
82,0.6597,0.0,-0.5574,-0.0516,-0.4767
83,0.0,0.7861,-0.4019,0.0,0.0
84,-0.296,-0.3802,-0.128,0.0,-0.4445
85,0.5719,0.8034,-0.8074,0.0,-0.9468
86,-0.5994,0.9051,-0.2023,0.4019,-0.6808
87,0.5859,0.0,0.0,0.0,-0.2023
88,0.3818,0.6696,0.7003,0.0,-0.8573
89,0.6808,0.7901,-0.2023,0.101,-0.6378
90,0.2263,0.6696,0.0,-0.0516,-0.6486
91,-0.128,0.0,0.0,0.5984,-0.4019
92,-0.5574,0.3612,0.5106,0.6249,-0.5994
93,0.5719,0.7424,0.128,-0.296,0.0258
94,0.0276,0.3818,0.2617,0.4215,-0.8316
95,0.4939,0.5093,0.0772,0.0,-0.6705
96,0.0,0.0,-0.5859,0.6031,0.0
97,-0.4019,0.8316,-0.5719,0.0,-0.2732
98,0.0,0.0,-0.0516,-0.296,0.0
99,-0.7579,0.5994,0.296,0.1695,0.0
